cyclone_id,cyclone_name,date,time_utc,latitude,longitude,wind_kt,pressure_mb,satellite_file
2024356N14084,UNNAMED,2024-12-20,12:00,13.7,83.5,20,1003,merg_2024122012_4km-pixel.nc4
2024356N14084,UNNAMED,2024-12-20,18:00,13.9,83.7,25,1003,merg_2024122018_4km-pixel.nc4
2024356N14084,UNNAMED,2024-12-21,00:00,13.9,84.2,25,1002,merg_2024122100_4km-pixel.nc4
2024356N14084,UNNAMED,2024-12-21,06:00,14.1,84.6,20,1003,merg_2024122106_4km-pixel.nc4

REMAL2024,REMAL,2024-05-23,12:00,13.6,86.6,15,1000,merg_2024052312_4km-pixel.nc4
REMAL2024,REMAL,2024-05-23,18:00,14.3,87.7,15,998,merg_2024052318_4km-pixel.nc4
REMAL2024,REMAL,2024-05-24,00:00,15.2,88.6,25,996,merg_2024052400_4km-pixel.nc4
REMAL2024,REMAL,2024-05-24,06:00,15.9,89.3,25,996,merg_2024052406_4km-pixel.nc4
REMAL2024,REMAL,2024-05-24,12:00,16.4,89.6,25,995,merg_2024052412_4km-pixel.nc4
REMAL2024,REMAL,2024-05-24,18:00,17.0,89.9,25,995,merg_2024052418_4km-pixel.nc4
REMAL2024,REMAL,2024-05-25,00:00,17.6,90.0,30,993,merg_2024052500_4km-pixel.nc4
REMAL2024,REMAL,2024-05-25,06:00,18.2,89.6,30,991,merg_2024052506_4km-pixel.nc4
REMAL2024,REMAL,2024-05-25,12:00,18.7,89.3,35,989,merg_2024052512_4km-pixel.nc4
REMAL2024,REMAL,2024-05-25,18:00,19.2,89.2,40,988,merg_2024052518_4km-pixel.nc4
REMAL2024,REMAL,2024-05-26,00:00,19.6,89.2,50,984,merg_2024052600_4km-pixel.nc4
REMAL2024,REMAL,2024-05-26,06:00,20.3,89.1,50,983,merg_2024052606_4km-pixel.nc4
REMAL2024,REMAL,2024-05-26,12:00,21.2,89.1,60,978,merg_2024052612_4km-pixel.nc4
REMAL2024,REMAL,2024-05-26,18:00,22.0,88.9,60,978,merg_2024052618_4km-pixel.nc4
REMAL2024,REMAL,2024-05-27,00:00,22.6,89.0,45,982,merg_2024052700_4km-pixel.nc4
REMAL2024,REMAL,2024-05-27,06:00,23.1,89.1,35,985,merg_2024052706_4km-pixel.nc4
REMAL2024,REMAL,2024-05-27,12:00,23.6,89.6,35,987,merg_2024052712_4km-pixel.nc4
REMAL2024,REMAL,2024-05-27,18:00,24.1,90.5,30,990,merg_2024052718_4km-pixel.nc4
REMAL2024,REMAL,2024-05-28,00:00,24.5,91.1,20,991,merg_2024052800_4km-pixel.nc4
REMAL2024,REMAL,2024-05-28,06:00,25.1,91.8,20,993,merg_2024052806_4km-pixel.nc4



